id,fecha,hora,zona,tipo_zona,lat,lng,decibeles,trafico,temperatura,humedad,comentario
1,2025-07-09,0,Tlaquepaque Centro,Comercial,20.642,-103.312,41.8,22,17.8,67.6,Zona ruidosa
2,2025-07-29,9,Providencia,Residencial,20.6612,-103.389,76.3,51,23.1,56.4,Poco tráfico
3,2025-02-14,22,Americana,Mixta,20.6666,-103.381,75.8,70,27,83,Zona tranquila
4,2025-07-20,20,Chapalita,Residencial,20.658,-103.402,42,49,21.8,65.1,Poco tráfico
5,2025-03-22,11,Providencia,Residencial,20.6612,-103.389,52,35,25.1,58,Ruido por construcción
6,2025-05-29,6,Americana,Mixta,20.6666,-103.381,64.2,64,24.7,75.8,Tráfico intenso
7,2025-03-15,4,Tlaquepaque Centro,Comercial,20.642,-103.312,30,35,17.3,54.2,Música alta
8,2025-02-14,17,Tlaquepaque Centro,Comercial,20.642,-103.312,101.4,82,25.4,64.2,Zona tranquila
9,2025-05-29,7,Zona Industrial,Industrial,20.645,-103.32,111.2,61,23.5,69.5,Mucho tráfico
10,2025-07-03,14,Americana,Mixta,20.6666,-103.381,72.8,67,31.2,54,Sin incidencias
11,2025-05-01,6,Zona Industrial,Comercial,20.642,-103.312,72.8,62,24.3,77.7,Música alta
12,2025-05-02,13,Providencia,Residencial,20.6612,-103.389,54.2,48,30,63.9,Muchos camiones
13,2025-05-02,9,Centro,Comercial,20.6737,-103.344,104.7,100,24.7,87.9,Ruido por construcción
14,2025-05-03,23,Zona Industrial,Industrial,20.645,-103.32,76.7,41,25.7,37.8,Mucho tráfico
15,2025-06-17,15,Providencia,Residencial,20.6612,-103.389,54.3,27,30.2,58.5,Sin incidencias
16,2025-05-10,2,Centro,Comercial,20.6737,-103.344,35.9,40,16.3,53.9,Ruido por construcción
17,2025-04-13,21,Chapalita,Residencial,20.658,-103.402,53.6,41,21.9,55.1,Zona tranquila
18,2025-02-26,22,Chapalita,Residencial,20.658,-103.402,53.7,38,22.4,75.2,Sin incidencias
19,2025-02-07,10,Zona Industrial,Industrial,20.645,-103.32,87.6,50,25.4,57.2,Ruido por construcción
20,2025-07-20,2,Chapalita,Residencial,20.658,-103.402,30,8,18.8,64.3,Tráfico intenso
21,2025-06-17,7,Americana,Mixta,20.6666,-103.381,95.5,85,22,71.8,Mercado cercano
22,2025-07-14,16,Americana,Mixta,20.6666,-103.381,75.9,70,29.1,37.8,Mucho ruido
23,2025-04-19,21,Centro,Comercial,20.6737,-103.344,66.1,62,23.8,25.2,Mercado cercano
24,2025-04-22,12,Chapalita,Residencial,20.658,-103.402,56.1,27,32.6,51,Sin incidencias
25,2025-03-15,14,Tlaquepaque Centro,Comercial,20.642,-103.312,65,72,33.8,69.7,Sin incidencias
26,2025-05-14,11,Centro,Comercial,20.6737,-103.344,81.1,71,27.1,49.1,Zona ruidosa
27,2025-05-28,8,Tlaquepaque Centro,Comercial,20.642,-103.312,104.6,89,24.8,53.1,Zona tranquila
28,2025-04-17,18,Americana,Mixta,20.6666,-103.381,87.1,86,26.8,55,Zona tranquila
29,2025-06-23,18,Americana,Mixta,20.6666,-103.381,91.6,77,22.5,47.7,Mucho ruido
30,2025-03-04,5,Americana,Mixta,20.6666,-103.381,39.1,43,21.2,80.2,Muchos camiones
31,2025-05-20,12,Americana,Mixta,20.6666,-103.381,71.4,60,29.7,78.6,Muchos camiones
32,2025-02-07,8,Centro,Comercial,20.6737,-103.344,103.5,98,22,51.7,Mucho ruido
33,2025-06-17,10,Americana,Mixta,20.6666,-103.381,69.1,58,19.6,46.4,Música alta
34,2025-07-19,13,Tlaquepaque Centro,Comercial,20.642,-103.312,71.4,58,31.5,66.3,Música alta
35,2025-04-15,18,Americana,Mixta,20.6666,-103.381,86.4,84,21.5,59.6,Zona tranquila
36,2025-02-23,20,Zona Industrial,Industrial,20.645,-103.32,77.6,48,22.8,39.5,Zona ruidosa
37,2025-07-05,22,Americana,Mixta,20.6666,-103.381,61.1,53,24.2,57.5,Obras en la zona
38,2025-03-25,17,Providencia,Residencial,20.6612,-103.389,68.1,35,25.3,54.1,Obras en la zona
39,2025-06-15,21,Tlaquepaque Centro,Comercial,20.642,-103.312,63.3,60,25.5,67.5,Mercado cercano
40,2025-03-25,23,Zona Industrial,Industrial,20.645,-103.32,87.1,74,23.2,72.2,Sin incidencias
41,2025-07-05,20,Americana,Mixta,20.6666,-103.381,64.1,59,23.7,49.9,Mucho tráfico
42,2025-07-16,12,Chapalita,Residencial,20.658,-103.402,55.4,54,28.8,54.5,Poco tráfico
